INFORMATION,,,,,ANALYSIS,,
🖼️,Name,Subclass,Effect,Stats,Description,Rank,Tier
,Echo of Starvation,Void,Devour for 5-7.5s on orb or Void Breach pickup,-10 Class,Universal,1,S
,Facet of Courage,Prismatic,Light abilities deal 10% more damage (+50% powered melee) to dark-debuffed enemies,+10 Grenade,DPS or Combination Blow builds,2,S
,Facet of Purpose,Prismatic,Orbs give super-matching defensive elemental buff (5-9s) or Bolt Charge (Arc),-10 Class,Universal,3,S
,Ember of Torches,Solar,Radiant to allies within 8m for 8-12s on powered melee hit,-10 Grenade,Universal,4,S
,Ember of Benevolence,Solar,Applying solar effects to allies gives +300% ability regen for 7s,-10 Grenade,Healing loops in team settings,5,S
,Thread of Generation,Strand,Grenade regen scaled with damage dealt,-10 Grenade,Universal,6,S
,Echo of Vigilance,Void,"Void Overshield for 5-7.5s on critical health kill, 8s ICD",/,Passive sustain,7,A
,Spark of Resistance,Arc,"25% DR for 2s if within 15m of 3 enemies, 2s linger",+10 Melee,Universal,8,A
,Facet of Dominance,Prismatic,"Void grenade damage weakens
Arc grenade damage jolts",-10 Grenade,Warlock debuff option and empowers Arc Soul,9,A
,Thread of Warding,Strand,5s of Woven Mail on orb pickup,-10 Health,Universal,10,A
,Facet of Protection,Prismatic,"15% DR for 2s if within 15m of 3 enemies, 2s linger",+10 Melee,Universal,11,A
,Ember of Singeing,Solar,+400% base class regen for 3s on scorching non-scorched enemy,/,Neutral off titan,12,A
,Whisper of Shards,Stasis,"`+500% base grenade regen rate for 6s on crystal break, 11s max",/,Universal,13,A
,Echo of Obscurity,Void,5-7s invisibility on finisher,+10 Class,Invisibility off hunter,14,A
,Whisper of Rime,Stasis,"Increases Frost Armor max stacks to x8, and duration to 13s",/,Universal,15,A
,Thread of Evolution,Strand,"33% Threadling damage increase, faster travel and max distance",+10 Super,Threadling builds and Needlestorm damage,16,A
,Whisper of Torment,Stasis,"7% grenade on damage taken, 12% with Frost Armor, 1s ICD",-10 Grenade,Universal,17,A
,Echo of Undermining,Void,Weaken for 6s on void grenade hit,-10 Grenade,Secondary weaken source,18,B
,Facet of Dawn,Prismatic,"Powered melee hits give Radiant to self for 5s
Powered melee kills give Radiant to allies for 5s",-10 Melee,Self-buffing on Prismatic,19,B
,Echo of Persistence,Void,Void buffs last 40-50% longer,"-10 Weapons (hunter)
-10 Health (titan)
-10 Class (warlock)",Universal,20,B
,Spark of Beacons,Arc,Special/heavy arc kills while Amplified create 7.5m blinding blast,/,Weapon-focused Arc builds,21,B
,Ember of Ashes,Solar,Scorch stacks increased by 50% (some exceptions),/,Ignition builds,22,B
,Ember of Char,Solar,Ignitions apply 40-60 scorch to nearby enemies,+10 Grenade,Caliban's Hand and Hellion builds,23,B
,Spark of Discharge,Arc,"Ionic Trace on 3 Arc weapon kill counter
Bolt Charge stack on Ionic Trace pickup",-10 Melee,Weapon-focused Arc builds,24,B
