WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Vouchsafe,29,Void,Lightweight,Dreaming City,,51,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Dimensional Shift
Shoot to Loot","Destabilizing Rounds
Explosive Payload
Withering Gaze",Advanced Reflexes,"every void perk you would want on a scout, just not the best frame and origin",1,S
,Voltaic Shade,28,Arc,Balanced,Equilibrium,,59,Yes,Fluted Barrel,Enhanced Heatsink,"Jolting Feedback
Shoot to Loot","Meganeura
Voltshot",Imperial Allegiance,"pretty lethal perk combo, very fast jolt, just no sustain or unique utility",2,S
,Unworthy,29,Arc,Rapid,Sundered Doctrine,,51,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Firefly,"Voltshot
Gear Shift",Subjugation,"great double splash, especially for long range precision, excellent origin and good frame",3,S
,Trustee,29,Solar,Rapid,Deep Stone Crypt,,56,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Reconstruction","Incandescent
Meganeura
Burning Ambition",Bray Inheritance,"unique Bray + Incandescent ticks interaction, otherwise pretty solid as well",4,S
,Doom of Chelchis,29,Void,Precision,King's Fall,,54,Yes,Fluted Barrel,Alloy Magazine,"Destabilizing Rounds
Firefly
Demoralize","Repulsor Brace
Meganeura
Withering Gaze
",Runneth Over,"has classic void combo but can also opt to drop Destab for artifact-based volatile, a shame about the frame",5,S
,Pointed Inquiry,29,Void,High-Impact,Throne World,,48,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Shoot to Loot","Demoralize
Dragonfly",Psychohack,"double stagger, access to volatile through artifact, good origin but mediocre frame",6,A
,No Feelings,29,Arc,Precision,Arena Ops,,56,Yes,Fluted Barrel,Alloy Magazine,Voltshot,"Meganeura
Gear Shift
Explosive Payload",Forge's Kin,"same roll as Voltaic Shade, better origin and worse archetype",7,A
,Fang of Ir Yût,29,Strand,Rapid,Crota's End,,60,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Tear
Slice
Shoot to Loot","Meganeura
Hatchling",Cursed Thrall,"pretty solid overall, just worse frame than Scholar and awkward origin trait for a scout",8,A
,Hung Jury SR4,29,Kinetic,Precision,Onslaught,,60,Yes,Fluted Barrel,Alloy Magazine,"Kinetic Tremors
Shoot to Loot","Firefly
Ancillary Ordinance
Explosive Payload",Indomitability,"decent double kinetic splash, has StL + EP option, just bad frame",9,A
,The Scholar,29,Strand,High-Impact,Trials,,50,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Firefly
Shoot to Loot","Tear
Hatchling
Explosive Payload",Wild Card,"StL + EP option on slower-firing frame, interesting double splash options for precision weapon",10,A
,Vision of Confluence,29,Solar,Precision,Vault of Glass,,52,Yes,Fluted Barrel,Alloy Magazine,"Incandescent
Heal Clip","Burning Ambition
Firefly
Explosive Payload",Timelost Magazine,"has good solar double splash options, but not a great frame despite good origin",11,A
,Nature Reclaimed,26,Solar,Lightweight,Iron Banner,,69,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Shoot to Loot","Incandescent
Explosive Payload",Skulking Wolf,"classic solar sustain combo with StL + EP option, okay frame, solid origin",12,A
,Aisha's Embrace,27,Void,Rapid,Trials,,50,Yes,Fluted Barrel,Alloy Magazine,"Demoralize
Shoot to Loot","Destabilizing Rounds
Withering Gaze
Desperate Measures",Roar of Battle,"no Repulsor holds this back a lot, bad origin and pretty good frame though",13,A
,Timeworn Wayfarer,29,Solar,Aggressive,Encore,,54,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Shoot to Loot",Incandescent,Radiolaria Transposer,"good origin and classic solar sustain combo, just low QoL archetype, good origin though",14,A
,Oxygen SR3,28,Solar,Precision,"Tenet of Bravery, Zavala",,54,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Shoot to Loot","Meganeura
Burning Ambition",Accelerated Assault,"solar sustain with a twist, probably not that different from Incandescent with less solar synergy",15,B
,Inbound Surveillance,29,Kinetic,High-Impact,"World, Banshee",,56,Yes,Fluted Barrel,Alloy Magazine,"Bewildering Burst
Stopping Power
Shoot to Loot","Kinetic Tremors
Explosive Payload","Nail, Meet Hammer","StL + EP but mediocre frame, has okay kinetic combo perks but otherwise not great",16,B
,Forced Memorializer,27,Kinetic,Precision,"Tenet of Bravery, Zavala",,48,Yes,Fluted Barrel,Alloy Magazine,"Bewildering Burst
Explosive Payload
Shoot to Loot","Kinetic Tremors
Ancillary Ordinance",Vanguard Determination,has lots of kinetic perks but frame and origin aren't great,17,B
,Randy's Throwing Knife,29,Kinetic,Rapid,Crucible,,48,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Rapid Hit,Kinetic Tremors,Accelerated Assault,"solid frame, solid origin, just no good perks in first column",18,B
,Long Arm,29,Arc,Aggressive,Spire of the Watcher,,54,Yes,Fluted Barrel,Alloy Magazine,"Rolling Storm
Lucky Shot","Meganeura
Chaos Reshaped
Gear Shift",Tex Balanced Stock,"first column a little disappointing, crazy 2nd column, rest of the gun not very good",19,B
,Patron of Lost Causes,29,Kinetic,Lightweight,Xur,,52,Yes,Fluted Barrel,Alloy Magazine,Rapid Hit,Kinetic Tremors,Cast No Shadows,"good origin but awkward fit on a scout, otherwise good frame, just lacks 1st column potency",20,B
,Brya's Love,29,Void,Precision,Xur,,49,Yes,Fluted Barrel,Alloy Magazine,"Loose Change
Shoot to Loot","Destabilizing Rounds
Explosive Payload",Head Rush,"no Repulsor hurts a lot, bad frame, decent origin, has StL + EP access",21,B
,Sublimation,27,Arc,High-Impact,Kepler,,54,Yes,Fluted Barrel,Alloy Magazine,"Demolitionist
Impromptu Ammunition
Shoot to Loot","Voltshot
Explosive Payload",Exhaustive Research,"similar to Tarnished Mettle, just slower frame and better origin",22,B
