WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Joxer's Longsword,29,Void,Heavy Burst,Crucible,,49,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Dragonfly
Shoot to Loot","Destabilizing Rounds
Withering Gaze
Kill Clip",Accelerated Assault,"solid origin, great frame, good perk diversity, has double stagger access too",1,S
,Claws of the Wolf,29,Void,Rapid,Iron Banner,,46,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Repulsor Brace,"Destabilizing Rounds
Rampage
Attrition Orbs",Skulking Wolf,nice origin paired with solid frame and classic void combo,2,S
,The Martlet,28,Void,Lightweight,Trials,,56,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Repulsor Brace
Firefly","Destabilizing Rounds
Withering Gaze
Desperate Measures",Fleet Footed,"trades better origin trait for Firefly alternative in first column, not really worth",3,S
,Gridskipper,29,Void,Rapid,"World, Banshee",,55,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Demoralize","Destabilizing Rounds
Desperate Measures",Splicer Surge,basically just worse than Claws but still good,4,S
,Nullify,24,Solar,Heavy Burst,Salvation's Edge,,51,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Firefly
Burning Ambition","Incandescent
Meganeura
Chaos Reshaped",Collective Purpose,"definitely the most diverse solar double splash option, just not a great origin trait, sadly no high-cal",5,S
,Veles-X,29,Void,Aggressive Burst,Solo Ops,,54,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Demoralize","Destabilizing Rounds
Withering Gaze
Firefly",Vanguard Determination,some double splash pairings but mediocre frame and origin,6,S
,High Tyrant,28,Void,Balanced,Equilibrium,,58,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,"Repulsor Brace
Destabilizing Rounds","Meganeura
Demoralize
Withering Gaze",Imperial Allegiance,"no Destab in 2nd column but can be covered by artifact setup, very potent if accounted for",7,S
,Elsie's Rifle,29,Void,High-Impact,Onslaught,,52,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Dimensional Shift","Destabilizing Rounds
Demoralize
Desperate Measures",Indomitability,"double stagger, standard void combos, better origin than Premonition",8,S
,Premonition,29,Void,High-Impact,Moon,,53,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Firefly
Demoralize","Destabilizing Rounds
Meganeura
Withering Gaze",Loss,"has double stagger, lots of perk diversity, just a bad frame and origin",9,S
,The Time-Worn Spire,29,Stasis,Rapid,Iron Banner,,53,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Firefly,"Headstone
Crystalline Corpsebloom",Skulking Wolf,probably as good as a stasis pulse gets,10,A
,All or Nothing,28,Strand,Dynamic,Tharsis Outpost,,56,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,"Firefly
Slice","Tear
Hatchling",Accelerated Assault,pretty solid strand double splash on a good frame with a good origin,11,A
,"Chattering Bone
Pantheon version",29,Kinetic,Lightweight,Pantheon,,49,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Kill Clip
Attrition Orbs
Bewildering Burst","Kinetic Tremors
Chaos Reshaped
Ancillary Ordinance",Elliptical Orbit,"better perk diversity than normal version, much better origin",12,A
,Redrix's Estoc,29,Stasis,Legacy PR-55,Competitive,,60,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Firefly
Crystalline Corpsebloom",Headstone,None,"best stasis double splash combos but no origin, solid frame though",13,A
,Hailing Confusion,29,Stasis,Adaptive,Europa,,49,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Headstone
Rimestealer","Meganeura
Crystalline Corpsebloom",Winterized Gear,"good for crystal spam, bad origin and okay frame",14,A
,New Purpose,29,Stasis,High-Impact,Duality,,60,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Headstone,"Meganeura
Rimestealer",Bitterspite,"basically Hailing Confusion with better origin, worse frame, less perks, and double stagger",15,A
,Blast Furnace,29,Kinetic,Aggressive Burst,Onslaught,,55,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Kinetic Tremors
Ancillary Ordinance
Bewildering Burst","Chaos Reshaped
Firefly",Forge's Kin,mediocre frame but everything else is about as good as you can ask for on a kinetic pulse,16,A
,The Messenger,29,Kinetic,High-Impact,Trials,,49,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Firefly
Bewildering Burst
Stopping Power","Kinetic Tremors
Ancillary Ordinance",Wild Card,"has triple stagger option, otherwise similar to Blast Furnace with worse origin",17,A
,Oversoul Edict,29,Arc,Rapid,Crota's End,,57,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Rolling Storm,"Voltshot
Jolting Feedback
Gear Shift",Cursed Thrall,"excellent origin, solid frame, and good arc diversity in 2nd column",18,A
,Adhortative,29,Solar,Adaptive,Starcrossed,,52,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Heal Clip
Shoot to Loot",Incandescent,Nano-Munitions,worse damage profile than Jurassic but has barrier intrinsic and better origin,19,A
,Jurassic Green,25,Solar,Rapid,?,,47,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Heal Clip,Incandescent,Field-Tested,"classic Heal Clip + Incandescent combo on solid frame, decent origin",20,A
,Darkest Before,29,Solar,Rapid,Prophecy,,50,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Heal Clip,"Incandescent
Burning Ambition",Crossing Over,Burning Ambition option but otherwise worse origin than Jurassic,21,A
,Chattering Bone,29,Kinetic,Lightweight,Last Wish,,49,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Kill Clip
Ancillary Ordinance
Stopping Power",Kinetic Tremors,Explosive Pact,"interesting single target + KT combo on a good frame, bad origin though",22,A
,Battle Scar,29,Kinetic,Lightweight,EDZ,,51,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Attrition Orbs
Shoot to Loot",Kinetic Tremors,Veteran's Wisdom,"excellent origin for KT, solid first column despite lacking double splash",23,A
,Stars in Shadow,27,Solar,High-Impact,"Tenet of Bravery, Shaxx",,49,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Heal Clip,"Incandescent
Burning Ambition",Wild Card,"classic solar survivability combo, just bad frame and decent origin",24,A
,Infinite Paths 8,29,Arc,Lightweight,"World, Banshee",,55,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Dragonfly,Voltshot,Radiolaria Transposer,Dragonfly not great but Voltshot has higher enough uptime to be equal to JF vs. other A tier picks,25,A
,"Relentless
RotN version",26,Strand,High-Impact,Rite of the Nine,,40,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Tear
Firefly
Slice",Hatchling,Gravity Well,"double stagger with decent double splash and unique origin, just not a good frame",26,A
,Belisarius-D,29,Strand,Aggressive Burst,Competitive,,59,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Tear
Slice
Dragonfly","Firefly
Hatchling",Häkke Breach Armaments,"bad frame but decent double strand splash otherwise, has double stagger too",27,A
,Relentless,29,Strand,High-Impact,Prophecy,,40,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Tear
Firefly
Slice",Hatchling,Crossing Over,essentially identical to RotN version with worse origin,28,A
,Insidious,29,Arc,Aggressive Burst,Vow of the Disciple,,59,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Rolling Storm
Dragonfly
Frenzy","Voltshot
Chaos Reshaped",Souldrinker,"basically Infinite Paths but worse due to frame, similar origin quality and more perk diversity",29,A
,Bygones,29,Kinetic,Adaptive,Gambit,,60,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Shoot to Loot
Stopping Power",Kinetic Tremors,Gun and Run,basically worse profile Battle Scar with much worse origin and barrier access,30,A
,Smite of Merain,29,Kinetic,Adaptive,King's Fall,,49,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Ancillary Ordinance
Bewildering Burst",Firefly,Runneth Over,"okay double splash, not as potent as top kinetic options",31,B
,Sacred Provenance,29,Kinetic,Aggressive Burst,Garden of Salvation,,52,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Stopping Power,"Kinetic Tremors
Firefly",Photoinhibition,"triple stagger + KT/Firefly, bad frame and okay origin but sort of interesting",32,B
,Corrasion,29,Arc,Heavy Burst,Encore,,52,Yes,Fluted Barrel,Alloy Magazine,"Air Trigger
Pugilist",Voltshot,Radiolaria Transposer,best single splash Voltshot pulse,33,B
,Vantage Point,25,Arc,Adaptive,"Xur, Kell's Fall?",,53,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Deconstruct,Jolting Feedback,Dark Ether Reaper,basically Horror's Least with a different refill perk and maybe a slightly better origin,34,B
,Horror's Least,28,Arc,Rapid,"Tenet of Bravery, Zavala",,56,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Trickle Charge,Jolting Feedback,Accelerated Assault,"good JF user and solid origin + frame, but disapppointing 1st column and arc splash isn't great",35,B
,Phyllotactic Spiral,29,Arc,High-Impact,Neomuna,,48,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Rapid Hit
Trickle Charge",Voltshot,Nanotech Tracer Missiles,"double stagger, bad first column, bad frame, but Voltshot + NTM",36,B
,Nightshade,29,Strand,Lightweight,Fireteam Ops,,46,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Slice,Hatchling,Accelerated Assault,"solid frame and origin, perks are just alright for strand",37,B
,Jorum's Claw,29,Solar,Adaptive,Iron Banner,,56,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Outlaw,Incandescent,Skulking Wolf,"good origin and typical reload + Incandescent combo, decent frame",38,B
