Role,🖼️,Name,Source,#,Priority,Column 1,Column 2,Alternatives
DPS heavy sniper,,Refurbished A499,Renegades,1,high,Snapshot Sights,Aggregate Charge,None
energy LP HC,,Uncivil Discourse,Renegades,1,high,"Air Trigger
Cooling Baubles",Precision Instrument,"Agape
Yesterday's Question
Maahes HC4"
energy rocket pulse,,Psi Aeterna IV,Solo / Fireteam Ops,1,high,"Blast Distributor
Trickle Charge",Elemental Honing,None
energy rocket sidearm,,Returned Memory,Crucible,1,high,"Heal Clip
Impromptu Ammunition","Incandescent
Redirection","Aberrant Action
Lotus-Eater
Indebted Kindness"
exotic burst damage,,Parasite,Exotic quest,1,high,N/A,N/A,"Legend of Acrius
Still Hunt
Whirling Ovation"
exotic debuff,,Tractor Cannon,Quest,1,high,N/A,N/A,Divinity
exotic multitool,,Choir of One,Exotic quest,1,high,"Destabilizing Rounds
Onslaught",N/A,"Praxic Blade
Ergo Sum"
exotic total damage,,Finality's Auger,Sundered Doctrine,1,high,N/A,N/A,"Wolfsbane
New Land Beyond
Anarchy"
grapple melee setup,,The Navigator,Ghosts of the Deep,1,high,N/A,N/A,None
kinetic rocket pulse,,Mint Retrograde,Pinnacle Ops,1,high,"Rewind Rounds
Envious Arsenal","Elemental Honing
Bait and Switch
Master of Arms",None
movement GL,,Gizmo Weft,Events,1,high,"Air Trigger
Slideshot
Envious Arsenal","Bipod
Chain Reaction
Aggregate Charge","Theodolite
The Mountaintop
Alethonym"
movement sword,,Sullen Claw,Equilibrium,1,high,Eager Edge,"Assassin's Blade
Destabilizing Rounds
Binary Orbit","The Slammer
Falling Guillotine"
add clear area denial,,VS Velocity Baton,Vesper's Host,2,medium,"Repulsor Brace
Demolitionist","Destabilizing Rounds
Attrition Orbs","Motif-41
Festival Flight"
damage area denial,,Motif-41,Solo / Fireteam Ops,2,medium,Auto-Loading Holster,"Vorpal Weapon
Attrition Orbs","Lost Signal
Psychopomp"
DPS crossbow,,A Good Shout,Pinnacle Ops,2,medium,Envious Arsenal,High Ground,"Submersion
Opaque Hourglass"
DPS sword,,Synanceia,Call to Arms,2,medium,"Relentless Strikes
Attrition Orbs
Sharp Harvest","Elemental Honing
Eager Edge
Burning Ambition","Bequest
Geodetic HSm
Summum Bonum"
energy 12p shotgun,,IKELOS_SG_V1.0.3,Operation: Seraph's Shield,2,medium,"Grave Robber
Threat Detector
Pugilist","One-Two Punch
Surrounded
Cascade Point","Starscape Null
Dead Weight
Prophet of Doom"
energy orb primary,,Yeartide Apex,Solstice 2025,2,medium,Attrition Orbs,"Chaos Reshaped
Incandescent
Burning Ambition",MIDA Mini-Tool
energy StL primary,,Tarnished Mettle,Season 18,2,medium,Shoot to Loot,Explosive Payload,"Sublimation
Nature Reclaimed
Brya's Love"
energy trace,,Keraunios,Guardian Games,2,medium,"Shoot to Loot
Fourth Time's the Charm","Chain Reaction
Rolling Storm
Detonator Beam","Chronophage
Retraced Path
Path of Least Resistance"
exotic add clear heavy,,Gjallarhorn,Exotic quest,2,medium,N/A,N/A,"Xenophage
Thunderlord"
exotic energy primary,,Graviton Lance,Quest,2,medium,N/A,N/A,"Sunshot
Trinity Ghoul"
