INFO,,,FACTORS,,,,,,,,,,ANALYSIS,,
#,Activity,Encounter,Strats,#,Gating,#,Depth,#,Fun,#,Consistency,#,Description,Score,Tier
51,Desert Perpetual - Epic,Agraios,"2-3 fast dunk, force align, minotaur delay, chronon carryover",3,doesn't feel nearly as slow-paced as normal,4,entire team can be involved in different roles based on chronon spread,4,everyone is moving and talking for most of the encounter,4,very few unexpected outcomes besides minotaurs misbehaving,4,the GOAT?,19,S
25,Vow of the Disciple,Exhibition,"early 2nd/3rd, early relic trading, skips to 4th",4,not really waiting on anything besides revives,4,lots of practice benefit and rewarded planning,4,relic/hampered encounters aren't for everyone but pretty dynamic,3,annoying slow glyph spawns but solid otherwise,3,one of the best team coordination/routing encounters,18,S
39,Crota's End,Bridge,"lots of unique movement/routing, crossing over bridge gap",4,"slow burner buildup at the start, very dynamic and player-gated later",3,most intricate individual role routing in any encounter,4,"boring at the beginning, very fun for everyone later on",3,"if planned around, Swordbearer spawn RNG is minimal",4,very different in speeds compared to typical LFG experience,18,S
42,Salvation's Edge,Substratum,"skip to 2nd, early 2nd tormentor rooms, close from mid, death warp",3,"hand frame, but still feels mostly player-based",4,lot of practice benefit and room mapping,4,all roles pretty involved,4,room RNG has notable impact on hand frame potential,3,"very unique encounter space, fun to optimize",18,S
45,Salvation's Edge,Verity,"skip to 5th, duo outside, early out, early dunk, synced dunks",4,some downtime between rounds but almost nothing,4,lots of opportunity for timeloss if not done well,4,"very fun to execute regardless of role, not for everyone though",3,some 3-5 RNG,3,some of the coolest and most clever in-encounter strategy,18,S
2,Last Wish,Shuro Chi,"preplating, early adds, and 1.5 skips",2,just add spawns and between floors,4,one of the highest practice yield encounters ever,4,fluid and satisfying execution once practiced,4,plates can be annoying,3,famous practice jail but intricate encounter,17,A
9,Garden of Salvation,Consecrated Mind,"full duo, 1 spit, split",3,waiting for boss to come to relay,4,"once practiced, hard to lose time",2,almost no downtime for either player,4,relay RNG doesn't matter,4,fun to execute even though generally doesn't affect time,17,A
31,King's Fall,Daughters,"dynamic plate floating, semi-unique damage",3,nothing but knight animations,4,situational routing and practice for sure,3,most roles moving a lot,3,not much RNG in strategy,4,pretty interesting setup with alive rejoins off solo skip,17,A
34,Root of Nightmares,Scission,"6 man running, skating across floors, early floors",1,all player-based,4,add clear a lot more annoying/sensitive than Cataclysm,4,every role nonstop moving if encounter is fast,4,random back spawns can be annoying but mostly preventable,4,one of the best mechanics encounters,17,A
43,Salvation's Edge,Herald,"resonance carryover, solo start, solo stun",2,"gated mostly to one player, but still tight for most roles",4,practice needed but not nearly as detailed as 4 scorers,3,not much downtime and decently engaging mechanics,4,basically no RNG if played correctly,4,one of the best boss encounters in speedrunning,17,A
