WEAPON,,INFO,,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Charge,Impact,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Sullen Claw,28,Void,Lightweight,Equilibrium,,50,62,Yes,"Tempered Edge
Jagged Edge","Heavy Guard
Swordmaster's Guard","Eager Edge
Vorpal Weapon","Destabilizing Rounds
Whirlwind Blade",Imperial Allegiance,"usable double damage perks, playable neutral, and best light attack Eager frame",1,S
,Chivalric Fire,29,Void,Caster,Solo Ops,,50,60,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard","Collective Demolition
Relentless Strikes","Collective Action
Attrition Orbs
Eager Edge",Vanguard Determination,Eager-swappable exclusive double Collective ability regen,2,S
,"Falling Guillotine
BRAVE version",23,Void,Vortex,Onslaught,,20,60,Yes,"Hungry Edge
Jagged Edge","Heavy Guard
Swordmaster's Guard","Attrition Orbs
Relentless Strikes
Frenzy","Eager Edge
Elemental Honing
Surrounded",Indomitability,vortex Eager with highest side utility options,3,S
,False Idols,29,Solar,Vortex,Pale Heart,,20,60,Yes,Hungry Edge,"Heavy Guard
Swordmaster's Guard",Eager Edge,"Burning Ambition
Surrounded
Counterattack",Dealer's Choice,"Dealer's Choice set option, otherwise not a huge standout",4,S
,The Slammer,29,Stasis,Vortex,Pinnacle Ops,,20,60,Yes,Tempered Edge,"Heavy Guard
Swordmaster's Guard",Eager Edge,"Cold Steel
Chaos Reshaped
Surrounded",Problem Solver,"Cold Steel lower value since vortex intrinsic is overload, has Chaos + Problem Solver too",5,S
,Nasreddin,29,Arc,Lightweight,EDZ,,20,60,Yes,"Honed Edge
Jagged Edge","Heavy Guard
Swordmaster's Guard","Flash Counter
Energy Transfer
Relentless Strikes","Eager Edge
Whirlwind Blade
Surrounded",Veteran's Wisdom,"rare Flash Counter + Eager combo, interesting origin too",6,S
,Terciopelo-4bl,29,Solar,Lightweight,SRL,,50,58,Yes,Honed Edge,"Heavy Guard
Swordmaster's Guard","Eager Edge
Burning Ambition","Chaos Reshaped
Aggregate Charge
Incandescent",Veist Stinger,"Eager + Chaos on a lightweight, lower impact but not that important",7,S
,Bequest,29,Arc,Adaptive,Deep Stone Crypt,,70,70,Yes,Jagged Edge,Swordmaster's Guard,"Relentless Strikes
Jolting Feedback","Redirection
Elemental Honing
Surrounded",Bray Inheritance,"insane damage profile frame, lacks true double damage but probably best overall damage sword",8,A
,Stryker's Sure-Hand,29,Void,Aggressive,Arena Ops,,20,73,Yes,"Jagged Edge
Hungry Edge","Swordmaster's Guard
Heavy Guard","Rampage
Relentless Strikes
Repulsor Brace","Redirection
Surrounded
Whirlwind Blade",Forge's Kin,"niche kill stacking double damage roll, held back by bad frame but otherwise interesting",9,A
,Hardline Cut,29,Arc,Adaptive,Tenet of Bravery,,50,62,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard","Attrition Orbs
Relentless Strikes
Flash Counter","Whirlwind Blade
Surrounded
Eager Edge","Nail, Meet Hammer","also has Flash + Eager, but with more viable non-movement perks and a worse Eager frame",10,A
