WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,The Wizened Rebuke,29,Arc,High-Impact,Iron Banner,,28,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Discord","Controlled Burst
Reservoir Burst",Skulking Wolf,"best frame, best currently possible add clear and damage perks, decent origin",1,S
,Glacioclasm,25,Void,High-Impact,Dawning,,26,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Overflow,"Controlled Burst
Withering Gaze",Dawning Surprise,"no Discord but Withering Gaze instead, worse origin than Wizened",2,S
,Loaded Question,29,Arc,High-Impact,Zavala,,30,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Auto-Loading Holster
Envious Assassin","Controlled Burst
Reservoir Burst",Problem Solver,"variety of refill perks + standard high-impact damage perks, nothing else though",3,S
,Accelerando-42,29,Strand,Precision,SRL,,31,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Slice","Aggregate Charge
Controlled Burst
Surrounded",Featherweight,"pretty solid damage perks and Overflow, just not the best frame",4,A
,The Eremite,29,Solar,High-Impact,Xur,,21,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Envious Assassin,"Controlled Burst
Reservoir Burst",Head Rush,"outdated overflow perk, everything else fine though",5,A
,Techeun Force,29,Arc,Adaptive,Last Wish,,29,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Rewind Rounds
Collective Demolition
Kill Clip","Aggregate Charge
Controlled Burst",Explosive Pact,"great QoL, just not a great frame, has Collective for grenade spam",6,A
,Cartesian Coordinate,29,Solar,Rapid,EDZ,,49,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Reconstruction
Collective Demolition
Discord","Aggregate Charge
Controlled Burst
Reservoir Burst",Veteran's Wisdom,"excellent roam/damage perks, not the best Discord frame, Collective usable for grenades",7,A
,Nox Perennial V,29,Strand,High-Impact,"World, Banshee",,21,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Envious Assassin,Controlled Burst,Wild Card,"outdated overflow perk, very limited options and origin trait not really relevant for DPS",8,A
,Monody-44,28,Void,High-Impact,"Tenet of Bravery, Banshee",,20,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Discord,"Destabilizing Rounds
Withering Gaze",SUROS Synergy,"Discord-only alternative to Wizened, also has Withering",9,A
,Midha's Reckoning,29,Arc,High-Impact,King's Fall,,28,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Cornered
Field Prep","Gear Shift
Surrounded",Runneth Over,"situational/annoying damage perks, origin trait technically overflow but not as consistent, awful 1st column",10,A
,PLUG ONE.1,29,Arc,Precision,Zavala,,40,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Reconstruction,"Controlled Burst
Voltshot",Problem Solver,"standard overflow + damage perks, just not best frame",11,B
,Axial Lacuna,29,Solar,Precision,Pale Heart,,30,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Reconstruction,"Controlled Burst
Surrounded",Dealer's Choice,"standard overflow + damage perks, just not best frame",12,B
,Main Ingredient,29,Arc,Precision,Fireteam Ops,,40,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Trickle Charge,"Gear Shift
Reservoir Burst",Accelerated Assault,disappointing 1st column but origin trait helps this pull ahead into this tier,13,B
,Burden of Guilt,27,Stasis,Adaptive,Trials,,29,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Envious Arsenal,"Aggregate Charge
Controlled Burst
Chill Clip",Fleet Footed,"faster triple stun option than Deliverance, first column a little lacking, still not really relevant",14,B
,Deliverance,29,Stasis,Precision,Vow of the Disciple,,39,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Crystalline Corpsebloom
Demolitionist","Chill Clip
Chain Reaction",Souldrinker,"interesting double splash option but ammo economy isn't great, triple stun not that relevant in most cases",15,B
,Null Composure,29,Void,Rapid,Pinnacle Ops,,55,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Reconstruction
Envious Arsenal","Elemental Honing
Controlled Burst",Accelerated Assault,"excellent overflow perks and damage perks with great DPS origin, just bad frame",16,B
,Riptide,28,Stasis,Rapid,"Tenet of Bravery, Shaxx",,46,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Auto-Loading Holster","Controlled Burst
Chill Clip",Accelerated Assault,"combination of Chill Clip QoL and standard overflow + damage with good DPS origin, just bad frame",17,B
,Dream Breaker,29,Solar,Adaptive,Moon,,31,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Reconstruction
Incandescent","Controlled Burst
Burning Ambition",Loss,"standard overflow + damage perks, worse frame than precision, also has double solar splash",18,B
,Lionfish-4fr,27,Stasis,Rapid,"Tenet of Bravery, Zavala",,52,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Reconstruction
Lead from Gold","Elemental Honing
Controlled Burst
Chill Clip",Veist Stinger,"solid overall and technically has more perks than Riptide, just no Accelerated",19,B
,The Beacon,28,Solar,Rapid,Tenet of Bravery,,54,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Rewind Rounds
Overflow
Envious Arsenal","Controlled Burst
Bait and Switch",Classy Contender,"great overflow perk selection, just a bad origin vs. Null Composure",20,B
,Tempered Dynamo,29,Arc,Aggressive,Arena Ops,,30,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Rewind Rounds
Impromptu Ammunition","Gear Shift
Discord
Jolting Feedback",Forge's Kin,"interesting damage perk combo, sadly on the worst fusion frame, has one shot jolt too",21,C
,Aurvandil FR6,29,Stasis,High-Impact,Banshee,,19,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Reconstruction,Chill Clip,Omolon Fluid Dynamics,"highest damage per shot for Chill Clip usage, but QoL is pretty low",22,C
,VS Gravitic Arrest,29,Void,Adaptive,Vesper's Host,,36,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Lead from Gold
Demolitionist","Withering Gaze
Controlled Burst",Bray Legacy,faster charging Withering option,23,C
,Zealot's Reward,29,Void,Rapid,Garden of Salvation,,52,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Auto-Loading Holster
Lead from Gold","Controlled Burst
Withering Gaze",Photoinhibition,"combines Withering option with ALH + standard damage perk, bad frame and inconvenient",24,C
,TAHOMA 01,29,Strand,Aggressive,Distortions,,38,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Collective Demolition
Lead from Gold","Aggregate Charge
Controlled Burst",Carrion Munitions,"decent perks but worst frame, Collective usable for grenade spam",25,C
,Scatter Signal,29,Strand,Rapid,Starcrossed,,52,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Overflow
Slice",Controlled Burst,Dragon's Vengeance,very standard perks on a bad frame,26,C
,Iterative Loop,29,Arc,Rapid,Neomuna,,50,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Supercharged Magazine
Grave Robber",Controlled Burst,Nanotech Tracer Missiles,"great origin, usable damage perk, just awful loader perks and frame",27,C
,Afterlight,26,Void,Adaptive,Xur,,39,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Discord,Destabilizing Rounds,Willing Vessel,decent Discord option but overshadowed by higher damage per shot frames,28,C
,Finite Maybe,27,Solar,Aggressive,The Desert Perpetual,,33,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Reconstruction
Lead from Gold
Incandescent","Controlled Burst
Bait and Switch
Discord",Frame of Reference,"usable Discord option, solid perks and overflow, just awful frame",29,C
,Pressurized Precision,29,Strand,Adaptive,Iron Banner,,50,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Discord
Auto-Loading Holster","Hatchling
Vorpal Weapon",Skulking Wolf,"no great pairings with Discord, no real damage perks, and only ALH on an okay frame",30,C
,Royal Executioner,29,Solar,Adaptive,NODE.OVRD.AVALON,,34,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,"Envious Assassin
Lead from Gold",Reservoir Burst,Noble Deeds,outdated overflow perk paired with decent perks on a mediocre frame,31,C
,Resounding,29,Strand,Aggressive,Solo Ops,,38,Yes,"Fluted Barrel
Arrowhead Brake",Accelerated Coils,Slice,"Aggregate Charge
Surrounded",Wild Card,"unique perk combination, but on the worst frame with no loader perks",32,C
