WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Hezen Vengeance,29,Solar,Aggressive,Vault of Glass,,50,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Envious Arsenal
Overflow","Aggregate Charge
Elemental Honing
Bipod",Timelost Magazine,"bar none the best rocket in the game, Cluster is an effective minimum 20% perk, insane origin",1,S
,Bellowing Giant,29,Void,Adaptive,Arena Ops,,48,Yes,Quick Launch,Impact Casing,"Lasting Impression
Overflow
Air Trigger","Reaper's Tithe
Aggregate Charge
Bipod",Forge's Kin,"in theory strongest double damage in the game, especially with Sentinel flicker",2,S
,The Hothead,29,Arc,Adaptive,Pinnacle Ops,,34,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Reconstruction
Auto-Loading Holster","Aggregate Charge
Elemental Honing
Bipod",Accelerated Assault,"free damage origin, standard Envious + good damage spread",3,A
,Cynosure,29,Strand,Adaptive,Fireteam Ops,,47,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Reconstruction","Aggregate Charge
Bait and Switch
Bipod",Accelerated Assault,Hothead clone (or the other way around),4,A
,The When and Where,27,Stasis,Adaptive,Desert Perpetual,,38,Yes,Quick Launch,Impact Casing,"Clown Cartridge
Overflow
Chill Clip","Reaper's Tithe
Surrounded
Bipod",Frame of Reference,burst specialist with high damage high investment perks + Frame of Reference,5,A
,Apex Predator,29,Solar,Adaptive,Last Wish,,33,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Reconstruction
Chain Reaction","Reaper's Tithe
Surrounded
Bipod",Explosive Pact,"Cluster + Reaper's/Surrounded has some niche usage, also has Chain + Bipod",6,A
,Heretic,29,Arc,Aggressive,Moon,,32,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Cluster Bomb
Supercharged Magazine","Gear Shift
Bipod",Loss,"Supercharged isn't that effective, otherwise pretty decent if using Gear Shift",7,A
,"Cold Comfort
RotN version",26,Stasis,Aggressive,Rite of the Nine,,45,Yes,Quick Launch,Impact Casing,Envious Arsenal,"Elemental Honing
Bait and Switch
Bipod",Restoration Ritual,2 mag into fast Envious dump option,8,A
,Roar of the Bear,29,Solar,High-Impact,Iron Banner,,38,Yes,Quick Launch,Impact Casing,Explosive Light,"Reaper's Tithe
Bipod",Skulking Wolf,"technically strong double damage but the wrong frame, EL + Bipod is novel though",9,A
,Cold Comfort,29,Stasis,Aggressive,Ghosts of the Deep,,45,Yes,Quick Launch,Impact Casing,"Envious Assassin
Reconstruction","Aggregate Charge
Reaper's Tithe
Bipod",Restoration Ritual,more burst-specialized than RotN version,10,B
,Crux Celeritas IV,29,Strand,Aggressive,SRL,,22,Yes,Quick Launch,Impact Casing,"Clown Cartridge
Reconstruction","Aggregate Charge
Elemental Honing
Bipod",Wild Card,like Cynosure but no Envious Arsenal,11,B
