WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Corrective Measure,29,Void,Aggressive,Vault of Glass,,50,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Demolitionist
Destabilizing Rounds
Redirection","Killing Tally
Demoralize
One for All",Timelost Magazine,"extremely strong artifact support, Demo access, great origin, great frame",1,S
,Hammerhead,29,Void,Adaptive,Arena Ops,,40,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Rampage
Destabilizing Rounds","Demoralize
Desperate Measures
Mega Kill Clip",Forge's Kin,"worse damage profile than Corrective, arguably worse origin, has barrier intrinsic though",2,S
,Song of Ir Yût,29,Arc,Adaptive,Crota's End,,53,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Demolitionist
Jolting Feedback
Unrelenting","Master of Arms
Mega Kill Clip
Cascade Point",Cursed Thrall,"worse synergy than void options, but still very strong with melee builds",3,S
,Qua Vinctus IV,28,Strand,High-Impact,Crucible,,38,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Demolitionist
Slice
Hatchling","Meganeura
Tear",Accelerated Assault,"best overall strand LMG for QoL purposes, good with artifact",4,S
,Pro Memoria,29,Strand,Aggressive,Pale Heart,,45,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Tear
Hatchling","Desperate Measures
Mega Kill Clip
Collective Action",Dealer's Choice,"Dealer's Choice kit option, also strong damage profile and perk options, Tear + Supercharger option",5,S
,Circular Logic,29,Strand,Adaptive,Neomuna,,51,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Firefly","Desperate Measures
Hatchling
Mega Kill Clip",Nanotech Tracer Missiles,"one of the weaker NTM weapon families, but still very good overall",6,S
,Bane of Sorrow,29,Void,High-Impact,Pantheon,,44,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds","Demoralize
Dimensional Shift
Destabilizing Rounds","Meganeura
Mega Kill Clip
Killing Tally",Elliptical Orbit,very strong void splash option if willing to drop reload perk,7,S
,DIABLERETS 06,29,Strand,Rapid,Distortions,,33,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Hatchling
Auto-Loading Holster
Subsistence","Meganeura
Redirection
Killing Tally",Carrion Munitions,the strongest strand splash LMG ever,8,S
,Commemoration,29,Void,Adaptive,Deep Stone Crypt,,55,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
Extended Mag","Dragonfly
Reconstruction
Adaptive Munitions","Repulsor Brace
Redirection
Killing Tally",Bray Inheritance,"only Repulsor Brace LMG in existence, volatile easy to source from artifact",9,S
,Temporal Clause,29,Solar,Aggressive,Nessus,,36,Yes,"Arrowhead Brake
Fluted Barrel","Alloy Magazine
High-Caliber Rounds
Extended Mag","Demolitionist
Meganeura
Incandescent","Mega Kill Clip
Killing Tally
Burning Ambition",Fail-deadly,"very potent double solar splash option, still has Demo though",10,S
