WEAPON,,INFO,,,,,,,,,PERKS,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,VS Velocity Baton,29,Void,Area Denial,Vesper's Host,,69,Yes,Quick Launch,High-Velocity Rounds,"Repulsor Brace
Envious Arsenal
Unrelenting","Destabilizing Rounds
Chain Reaction
Attrition Orbs",Bray Legacy,"best element area denial with pretty much every relevant perk needed, excellent origin too",1,S
,Ouster Engine,29,Stasis,Area Denial,Pinnacle Ops,,58,Yes,Quick Launch,High-Velocity Rounds,"Air Trigger
Auto-Loading Holster
Rimestealer","Chain Reaction
Aggregate Charge
Crystalline Corpsebloom",Accelerated Assault,"only area denial with Air Trigger for ammo, also has every perk imaginable for stasis",2,S
,Gizmo Weft,28,Strand,Micro-Missile,Tenet of Bravery,,70,Yes,Quick Launch,"High-Velocity Rounds
Spike Grenades
Implosion Rounds","Air Trigger
Envious Arsenal
Slice","Bipod
Aggregate Charge
Chain Reaction",Häkke Breach Armaments,best movement and swap GL,3,S
,Psychopomp,29,Arc,Area Denial,Pit of Heresy,,70,Yes,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Impromptu Ammunition
Rolling Storm","Aggregate Charge
Voltshot
Gear Shift",Heretical Behavior,"Aggregate Charge access on energy slot area denial, also has 8% damage origin trait",4,S
,Festival Flight,27,Strand,Area Denial,Tenet of Bravery,,69,Yes,Quick Launch,High-Velocity Rounds,"Slice
Demolitionist
Envious Arsenal","Attrition Orbs
One for All
Hatchling",Dream Work,"best application of splash Sever of any Slice weapon, otherwise a pretty normal area denial",5,S
,Theodolite,27,Arc,Micro-Missile,"Tenet of Bravery, Zavala",,69,Yes,Quick Launch,"High-Velocity Rounds
Spike Grenades
Implosion Rounds",Reconstruction,Frenzy,Problem Solver,only energy movement GL option,6,A
,Lost Signal,29,Stasis,Area Denial,Encore,,63,Yes,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Lead from Gold
Strategist","One for All
Wellspring
Demolitionist",Radiolaria Transposer,mostly a downgrade from Ouster besides origin,7,A
,Motif-41,28,Solar,Area Denial,"Tenet of Bravery, Banshee",,59,Yes,Quick Launch,High-Velocity Rounds,Auto-Loading Holster,"Incandescent
Vorpal Weapon
Attrition Orbs",SUROS Synergy,"basically just for surge matching, worse than Baton otherwise",8,A
,New Pacific Epitaph,29,Stasis,Wave,Ghosts of the Deep,,70,Yes,Quick Launch,High-Velocity Rounds,"Chain Reaction
Unrelenting
Air Trigger","Redirection
Crystalline Corpsebloom
Reaper's Tithe",Restoration Ritual,"one of the best Redirection users archetype-wise, but still not very meta",9,A
,"Forbearance
BRAVE version",29,Arc,Wave,Onslaught,,67,Yes,Quick Launch,High-Velocity Rounds,"Redirection
Air Trigger
Unrelenting","Chain Reaction
Desperate Measures
Voltshot",Indomitability,energy NPE with worse secondary perk options and an arguably better origin,10,A
,Wilderflight,29,Void,Double Fire,Spire of the Watcher,,10,Yes,Quick Launch,"Spike Grenades
Disorienting Grenades","Envious Arsenal
Auto-Loading Holster","Aggregate Charge
Withering Gaze",Tex Balanced Stock,Gizmo swap damage equivalent in the energy slot,11,A
