"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"Icon","Name","Type","Slot","Affinity","Frame","Barrel","Magazine","MW","Column 1","Column 2","Origin Trait","Role / Notes","Rank","Tier","Where to get","Craftable"
"","Abyss Defiant","Auto Rifle","Energy","Solar","High-Impact","Arrowhead
Chambered 
Corkscrew","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Stability
Range","Zen Moment
Heal Clip","Kill Clip
Swashbuckler
Binary Orbit","Cursed Thrall","Best-in-Class 400 RPM auto.
Strong perks in both columns, somewhat useful Origin provides free AoE following melee kills.
16 zoom for ease of use.
TTK shift via Kill Clip, Binary Orbit, Swash x3, or Sword Logic x2 + 128 Weapons: 0.75 -> 0.60","","S","Crota's End Raid","Yes"
"","Adamantite (Pit of Heresy Dungeon Variant)","Auto Rifle","Kinetic","Strand","Support Frame (Healing)","Hammer-forged
Smallbore
Corkscrew","Accurized
Tactical Mag","Range
Stability","Physic
Reciprocity","Kill Clip
Aggregate Charge","Heretical Behavior
Willing Vessel","Support Frame (Healing) Auto
Provides Unraveling Rounds via Physic.
TtK shift via Aggregate Charge x1 = 0.80->0.70
Weaker support options as Strand.","","C","Pit of Heresy Dungeon","No"
"","Age-Old Bond","Auto Rifle","Energy","Void","High-Impact","Arrowhead
Corkscrew
Smallbore","Accurized Rounds","Stability
Range","Tap the Trigger
Dynamic Sway Reduction","Kill Clip
Golden Tricorn
Rampage","Explosive Pact","Best-in-Class 400 RPM auto.
Strong perks in both columns, Origin provides free stats after activating grenade/grenade kills.
16 zoom for ease of use.
TTK shift via Kill Clip, Harmony, Rampage x2, Focused Fury, Adrenaline Junkie x3, or Golden Tricorn x1 + 128 Weapons: 0.75 -> 0.60
","","S","Last Wish Raid","Yes"
"","Ahab Char","Auto Rifle","Energy","Solar","Rapid-Fire","Arrowhead
Hammer-forged
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Perpetual Motion
Heal Clip
Transcendant Moment","Kill Clip
Swashbuckler
Adagio","Bray Legacy","Good frame, weak column 1 perks.
Bad recoil direction & bounce intensity demands arrowhead.
Origin provides passive ability energy.","","B","Tenet of Bravery","No"
"","Arc Logic","Auto Rifle","Energy","Arc","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized Rounds","Range
Stability","Keep Away","Gear Shift
Sword Logic
Master of Arms
Elemental Honing
Swashbuckler","Loss","Best-in-Class 600 RPM auto.
Neutral TtK shift via Elemental Honing or Gear Shift.
Gear Shift x1, Ele Hone x2 Sword Logic x2, Master of Arms x1, or 0.80->0.70
Gear Shift x3, MoA x2, Ele Hone x4, Swash x4: =>0.60
INSANE Origin trait that provides AA, Stability and Handling passively.","","S","Moon Destination","No"
"","Arctic Haze","Auto Rifle","Energy","Solar","Rapid-Fire","Hammer-forged
Smallbore
Arrowhead","Accurized Rounds","Range
Stability","Dynamic Sway Reduction
Elemental Capacitor
Incandescent","Kill Clip
Swashbuckler
Rampage","Winterized Gear","Good frame, good perks, good origin.
Origin provides free Stability, Handling, and Reload speed passively.
Kill Chaining
Splash & heal delay","","A","Europa Destination","No"
"","Auric Disabler","Auto Rifle","Kinetic","Strand","Precision","Arrowhead
Smallbore
Hammer-forged","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Slice
Zen Moment
Dynamic Sway Reduction","Sword Logic
Kill Clip
Tap the Trigger","Omolon Fluid Dynamics
Fleet Footed
Roar of Battle","Great perks, mid frame, great origins.
Lacks neutral TtK shifts necessary to make Precision autos good. Target Lock isn't enough on its own.
Fleet Footed makes this a pseudo-lightweight, but Omolon is better for ease of use.
Slice.","","B","Trials of Osiris / Saint-14 Vendor","No"
"","Breakneck","Auto Rifle","Kinetic","Kinetic","Precision","Arrowhead
Hammer-forged
Smallbore","Ricochet Rounds
High-Caliber Rounds
Armor Piercing Rounds","Range
Stability","Keep Away
Eye of the Storm
Dynamic Sway Reduction","Tap the Trigger
Moving Target
Onslaught","Gun and Run","Weak frame, good perks. Mostly focus on consistency.","","C","Gambit / Drifter Vendor","No"
"","Chroma Rush (Monument of Triumph Variant)","Auto Rifle","Kinetic","Kinetic","Rapid-Fire","Hammer-forged
Smallbore
Fullbore","Accurized Rounds","Range
Stability","Dynamic Sway Reduction
Killing Wind
Stopping Power","Kill Clip
Kinetic Tremors
All Star","Splicer Surge","TTK shift via Kill Clip or Rampage x3: 0.75 -> 0.58
Rampage x2 or All-Star: => 0.67
Stopping Power & Kinetic Tremors for consistency.","","S","World Drops / Gunsmith Vendor / Hawthorne Engrams","No"
"","Chrysura Melo (Shattered Throne Dungeon Variant)","Auto Rifle","Energy","Arc","Support Frame (Healing)","Hammer-forged
Smallbore
Corkscrew","Accurized
Tactical Mag","Range
Stability","Physic
Impulse Amplifier","Attrition Orbs
Supercharged Magazine","Ignoble Deeds","Support Frame (Healing) Auto
Provides Amplified via Physic.
Enables neutral Gear Shift activation for teammates.
Attrition Orbs for team play. 
SCMag for steady healing stream.","","S","Shattered Throne Dungeon","No"
"","Come To Pass
","Auto Rifle","Energy","Arc","Support","Arrowhead
Smallbore
Hammer-forged","Accurized Rounds","Range
Stability","Perpetual Motion
Genesis","Golden Tricorn","Psychohack","Good frame, but lacks strong perks.","","C","Throneworld Destination","Yes"
