WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Compact Defender,28,Void,Dynamic,Renegades,,54,Yes,Fluted Barrel,Enhanced Heatsink,Destabilizing Rounds,Repulsor Brace,Accelerated Assault,excellent 1mag damage frame with classic void combo and great origin,1,S
,Brass Attacks,29,Void,Heavy Burst,"World, Banshee",,40,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Impromptu Ammunition","Destabilizing Rounds
Demoralize
Rampage",Land Tank,"decent frame, classic void combo, excellent origin, also has option to drop Destab for artifact volatile",2,S
,Seventh Seraph SI-2,29,Void,Lightweight,Cosmodrome,,31,Yes,Fluted Barrel,Seraph Rounds,"Destabilizing Rounds
Dimensional Shift","Repulsor Brace
Meganeura
Surrounded",Eyes Up,"worse frame setup than S tiers above it, but highest lethality perk combos",3,S
,Evening SI4,28,Solar,Adaptive Burst,"Tenet of Bravery, Zavala",,47,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Impromptu Ammunition","Incandescent
Burning Ambition",Accelerated Assault,arguably best sidearm frame with excellent kill-reload usage,4,S
,Insurmountable,29,Void,Precision,"Kell's Fall, Banshee",,32,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Attrition Orbs
Air Trigger","Destabilizing Rounds
Desperate Measures
Surrounded",Dark Ether Reaper,worst frame but origin trait is pretty solid and has some unique perks to work with,5,S
,Punching Out,29,Solar,Rapid,Fireteam Ops,,65,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Heal Clip,"Incandescent
Meganeura",Accelerated Assault,"worse frame than Evening but still solid, has Meganeura alterantive",6,S
,Drang,27,Solar,Together Forever,"Tenet of Bravery, Banshee",,50,Yes,Fluted Barrel,Alloy Magazine,Heal Clip,"Incandescent
Burning Ambition",Vanguard Determination,basically a slight downgrade from Evening due to worse archetype and origin,7,S
,Heliocentric QSc,29,Solar,Lightweight,"World, Banshee",,29,Yes,Fluted Barrel,Alloy Magazine,Heal Clip,"Incandescent
Surrounded",Nadir Focus,"powercrept by better solar sustain options, but still very usable",8,S
,Anonymous Autumn,29,Arc,Lightweight,Shaxx,,30,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Attrition Orbs,Voltshot,Field-Tested,"makes orbs faster than Multimach, high Voltshot uptime, decent frame, decent origin",9,A
,The Keening,29,Arc,Adaptive,Crucible,,46,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Voltshot,"Jolting Feedback
Dragonfly",Accelerated Assault,"no sustain but great double splash, great origin, solid frame",10,A
,Forgiveness,27,Arc,Heavy Burst,Trials,,33,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Voltshot,"Surrounded
Desperate Measures",Roar of Battle,"downgrade from The Keening overall, but single target damage is a little better",11,A
,Empirical Evidence,29,Kinetic,Heavy Burst,Throne World,,30,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Enlightened Action,Kinetic Tremors,Psychohack,"double stagger, decent frame, great origin, decent KT user",12,A
,Peacebond,29,Stasis,Adaptive Burst,Iron Banner,,43,Yes,Fluted Barrel,Alloy Magazine,Headstone,"Rimestealer
Kill Clip
Desperate Measures",Skulking Wolf,basically Liminal Vigil but better in every way besides high-cal access,13,A
,Division,26,Arc,Heavy Burst,Xur,,33,Yes,Fluted Barrel,Alloy Magazine,Eddy Current,Voltshot,Runneth Over,"only Voltshot, high uptime and decent frame but not particularly noteworthy",14,B
,Brigand's Law,29,Arc,Rapid,Xur,,67,Yes,Fluted Barrel,Alloy Magazine,"Threat Detector
Feeding Frenzy
Pugilist",Voltshot,Right Hook,bad origin but otherwise pretty decent pure Voltshot example,15,B
,Fimbulwinter Stitch,28,Arc,Precision,Tenet of Bravery,,26,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Loose Change
Collective Pugilism","Voltshot
Jolting Feedback",Dawning Surprise,"worst frame, no double splash to make up for it, just an okay origin",16,B
,Drang (Baroque),29,Solar,Together Forever,Presage,,50,Yes,Fluted Barrel,Alloy Magazine,Wellspring,Incandescent,To Excess,"just Incandescent on a decent frame, nothing else noteworthy",17,B
,"Liminal Vigil
RotN version",26,Stasis,Heavy Burst,Rite of the Nine,,33,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Headstone
Attrition Orbs","Rimestealer
Kill Clip
Desperate Measures",Gravity Well,"dated stasis combo, unique origin, otherwise not very noteworthy",18,B
