WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Unforgiven,29,Void,Aggressive,Duality,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Destabilizing Rounds
Attrition Orbs","Repulsor Brace
Chaos Reshaped
Dimensional Shift",Bitterspite,"double stagger, AO + Repulsor + artifact-supported volatile, high reload uptime origin",1,S
,Multimach CCX,29,Kinetic,Lightweight,Iron Banner,,64,Yes,Fluted Barrel,Alloy Magazine,"Attrition Orbs
Bewildering Burst
Stopping Power",Kinetic Tremors,Skulking Wolf,"classic AO + KT combo, good frame, solid origin, not particularly splashy though",2,S
,The Recluse,29,Void,Lightweight,Onslaught,,67,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Dimensional Shift","Destabilizing Rounds
Chaos Reshaped",Indomitability,"would be the best SMG in the game with Attrition Orbs, still very solid neutral combos and origin though",3,S
,Bug-Out Bag,29,Void,Adaptive,Gambit,,42,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Attrition Orbs","Destabilizing Rounds
Collective Action",Gun and Run,downgrade from other S tier SMGs except the barrier intrinsic,4,S
,"M-17 ""Fast Talker""",28,Stasis,Balanced,Lawless Frontier,,69,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,Attrition Orbs,Crystalline Corpsebloom,Accelerated Assault,stasis-focused Multimach alternative with better mag uptime,5,S
,Yeartide Apex,27,Solar,Lightweight,Tenet of Bravery,,69,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip","Incandescent
Chaos Reshaped
Burning Ambition",Tex Balanced Stock,"Multimach equivalent in the energy slot, just worse origin trait and no KT equivalent",6,S
,MIDA Mini-Tool,29,Solar,MIDA Synergy,"Tenet of Bravery, Banshee",,70,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip","Incandescent
Burning Ambition",Vanguard Determination,less perk diversity than Yeartide but arguably better origin trait,7,S
,Submission,29,Kinetic,Lightweight,Vow of the Disciple,,65,Yes,Fluted Barrel,Alloy Magazine,Kinetic Tremors,Chaos Reshaped,Souldrinker,"novel perk combo but no AO utility, good origin though",8,S
,Vikala SMG4,29,Void,Balanced,SRL,,66,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,Dimensional Shift,"Destabilizing Rounds
Attrition Orbs
Chaos Reshaped",Omolon Fluid Dynamics,"no Repulsor but Dimensional is decent if artifact-supported, bad origin but good otherwise",9,A
,The Title,29,Void,Aggressive,Tenet of Bravery,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Repulsor Brace,"Destabilizing Rounds
Surrounded",Classy Contender,strict downgrade from Unforgiven,10,A
,Every Waking Moment,29,Void,Precision,Moon,,21,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Destabilizing Rounds","Meganeura
Demoralize",Loss,can take Repulsor + Meganeura + artifact volatile for a pretty potent combo despite poor origin/frame,11,A
,No Survivors,29,Solar,Aggressive,Ghost of the Deep,,32,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Burning Ambition
Heal Clip",Incandescent,Restoration Ritual,"only SMG with Burning + Incandescent, otherwise origin isn't great and frame is suboptimal",12,A
