INFO,,,,,,,ANALYSIS,,,KEY,
🖼️,Name,Season,Tags,Trigger,Effect,Enhancement,Description,Rank,Tier,,
,Eager Edge,15,utility,"Readying sword
3s ICD",80% increased lunge for 1s,"20% extra lunge
0.5s duration",defines an entire subset of endgame PvE,1,S,S,irreplaceable; transforms how a weapon functions in the sandbox
,Envious Arsenal,25,refill,"Dealing damage with both other weapons, then readying",Refills mag,20 ammo generation,class-agnostic BnS-compatible reloads and a lot of free ammo gen,2,S,A,best-in-slot and excellent effects
,Attrition Orbs,23,utility,"55% of mag hit + 2, rounded down (bows: 5, swords: 6)",Creates an 0.8% Super Orb of Power,0.3% more Super,extremely potent orb generation on certain weapon types,3,S,B,situationally outstanding effects or worse A alternatives
,Fourth Time's the Charm,4,"overflow
ammo",4 precision hits with 2s between,2 ammo refund,1s extra time,nearly doubles total damage and mag size at the same time,4,S,C,core sustained and spree perks
,Aggregate Charge,27,sustained,Damage to elemental-debuffed target,10/20/30% (1/2/3 debuffs) for 3s,10% damage on buffed portion,"BnS replacement that works on first shot, great for fireteams, less so for solo",5,S,D,solid effects but niche or overshadowed
,Elemental Honing,26,sustained,Dealing different elemental damage (5 stacks),Up to 35% damage for 20s (40% for kinetics),3s duration,best setup sustained DPS perk in the game,6,S,E,very mediocre or extremely niche
,Heal Clip,22,utility,Kill-reload within 5.3s,"x2 Cure for player
x1 Cure to allies within ?m",?s kill-reload time,subclass-agnostic survivability and Benevolence procs,7,S,F,technically positive PvE effects but no real use
,Physic,24,utility,6 healing hits on allies within 1s of each,Restoration x1 for 4-6s for user,"0.5s with Solace
1s without","BiS support auto perk, doubles its use cases",8,S,G,PvP perks / no real PvE benefit
,Bait and Switch,16,sustained,Damage with all weapons (7s max between),30% damage for 10s,1s duration,lower setup alternative to Elemental Honing,9,S,,
,Collective Demolition,29,ability,,,,,,,,
,Dimensional Shift,29,utility,,,,,,,,
,Gear Shift,29,"sustained
spree",,,,,,,,
,Light Touch,29,reload,,,,,,,,
,Lucky Shot,29,refill,,,,,,,,
,Mega Kill Clip,29,spree,,,,,,,,
,One-Two Punch,6,utility,12 pellets of shotgun hit,+150% melee damage for 3s (75% for spread shot),10 pellets,foundation of various meta-defining melee builds,10,S,,
,Destabilizing Rounds,20,splash,"Weapon kill
1.5 ICD","Volatile explosion
Volatile Rounds for 2s on kill splash hit",?s reduced ICD,probably the best on-kill splash effect in the game,11,A,,
,Withering Gaze,25,utility,1.5s ADS without firing,Weaken applied on next shot,1.4s ADS?,best universally applicable debuff extension packed into a legendary perk,12,A,,
,Kinetic Tremors,20,splash,Multiple hits on enemy within 3s,3 shockwaves under target,Reduced hit count,"versatile: add clear, major chip, and even boss damage",13,A,,
,Reaper's Tithe,27,"burst
spree","Simultaneous kills (4 stacks)
Timer starts upon firing","20-40% damage for 15s, kills extend by 6s",2s duration,"best non-Surrounded burst perk, potentially great for roam too",14,A,,
,Trench Barrel,3,sustained,Melee damage,"50% damage, 30 handling, 30 reload for 5s or 3 shots",5 stats,extremely high damage boost for now-ranged melee options,15,A,,
,Jolting Feedback,25,splash,"Multiple hits within ?s, reduced if amplified",Inflicts jolt,Less hits needed if not amplified,"on-hit champ stun, stagger, and decent add clear",16,A,,
,Rewind Rounds,14,overflow,Emptying mag,"60% of hits refilled, hits within 1s of proc don't count",70% of hits,almost Envious Assassin with zero setup requirement,17,A,,
,Chaos Reshaped,24,"sustained
utility","In combat every 5s for 12s
Above requirement for additional 12s","20% damage for 7s
35% damage for 7s, 35 HP every 7s",-0.5s combat duration,"highest non-Surrounded sustained damage, plus small health ticks",18,A,,
