WEAPON,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Chronophage,29,Void,Encore,,37,Yes,Fluted Barrel,Light Battery,"Repulsor Brace
Shoot to Loot","Destabilizing Rounds
Desperate Measures",Radiolaria Transposer,"excellent pairing with artifact, volatile is very good for Harsh Refraction purposes",1,S
,Unsworn,29,Strand,Sundered Doctrine,,47,Yes,Fluted Barrel,Light Battery,"Shoot to Loot
Tear","Chaos Reshaped
Hatchling
Detonator Beam",Subjugation,"only kinetic slot StL trace, excellent with Tablet of Ruin, wish it had Slice",2,S
,Hollow Denial,17,Void,Presage,,65,Yes,Fluted Barrel,Light Battery,"Lead from Gold
Adaptive Munitions",Repulsor Brace,Extrovert,"actually pretty decent with Volatile Flow in a trace-focused build for barrier stun, high ammo gen",3,A
,Retraced Path,15,Solar,Dares,,47,Yes,Fluted Barrel,Light Battery,"Shoot to Loot
Adaptive Munitions","Incandescent
Demolitionist
Disruption Break",Hot Swap,"best anti-barrier trace option, also solid for solar Verity use cases",4,A
,Keraunios,28,Arc,Tenet of Bravery,,44,Yes,Fluted Barrel,Light Battery,"Shoot to Loot
Fourth Time's the Charm","Chain Reaction
Jolting Feedback
Detonator Beam",Classy Contender,"decently fast jolt application, also has StL + Chain for pickups, just not as strong with artifact",5,A
,Acasia's Dejection,29,Solar,Root of Nightmares,,49,Yes,Fluted Barrel,Light Battery,"Burning Ambition
Reconstruction
Field Prep","Incandescent
Chaos Reshaped
Detonator Beam",Harmonic Resonance,best Burning Ambition weapon for ignition builds,6,A
,Path of Least Resistance,19,Arc,Seraph's Shield,,41,Yes,Fluted Barrel,Light Battery,"Shoot to Loot
Adaptive Munitions",Voltshot,Ambush,"great trace for tapping and using Voltshot, overall not very special though",7,A
,Incisor,24,Strand,Trials,,60,Yes,Fluted Barrel,Light Battery,Slice,"Hatchling
Attrition Orbs",One Quiet Moment,"one of the most precise Slice applicators in the game, otherwise basically useless",8,B
,Action Item,28,Stasis,Tenet of Bravery,,41,Yes,Fluted Barrel,Light Battery,"Rimestealer
Deconstruct
Demolitionist","Crystalline Corpsebloom
Headstone
Detonator Beam","Nail, Meet Hammer","certainly a better stasis synergy trace than Appetence, not great with Harsh unfortunately",9,B
,Warlord's Spear,26,Arc,Iron Banner,,54,Yes,Fluted Barrel,Light Battery,"Loose Change
Envious Assassin
High-Impact Reserves","Jolting Feedback
Detonator Beam
Desperate Measures",Skulking Wolf,basically Keraunios without StL and a better origin,10,C
,Appetence,29,Stasis,Starcrossed,,43,Yes,Fluted Barrel,Light Battery,Demolitionist,Headstone,Dragon's Vengeance,almost no relevant perks,11,C
,Ribbontail,27,Strand,Tenet of Bravery,,48,Yes,Fluted Barrel,Light Battery,Wellspring,"Tear
Redirection
Detonator Beam",Tenacity,the worst 1st column i have ever seen on a weapon released this late,12,C
