WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,No Hesitation,29,Solar,Support,Pale Heart,,54,Yes,Full Bore,Accurized Rounds,"Physic
Burning Ambition","Chaos Reshaped
Attrition Orbs
Incandescent",Dealer's Choice,"best survivability support auto, also insane with Elemental Supercharger due to origin trait",1,S
,Cusp Sempiternal,27,Void,Support,Epic Desert Perpetual,,51,Yes,Full Bore,Accurized Rounds,"Reciprocity
Repulsor Brace
Attrition Orbs","Withering Gaze
Destabilizing Rounds
Master of Arms",Frame of Reference,"would be insane with Physic, has great slot efficiency for debuff extension + support",2,S
,DECATUR 02,29,Stasis,Support,Distortions,,54,Yes,Full Bore,Accurized Rounds,"Physic
Crystalline Corpsebloom
Attrition Orbs","Reciprocity
Master of Arms
Redirection",Carrion Munitions,"Frost Armor not as good as Restoration, but still the best kinetic slot option",3,S
,"Reckless Oracle
Pantheon version",29,Void,Rapid,Pantheon,,54,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Destabilizing Rounds
Dimensional Shift
Collective Demolition","Repulsor Brace
Chaos Reshaped
Withering Gaze",Elliptical Orbit,"every relevant void perk and Chaos to boot, great all around",4,S
,Gnawing Hunger,29,Void,Adaptive,Gambit,,55,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Repulsor Brace
Withering Gaze","Destabilizing Rounds
Master of Arms",Gun and Run,"better archetype than normal Reckless Oracle, but origin trait is pretty mediocre",5,S
,Reghusk's Pledge,28,Void,Rapid,Iron Banner,,53,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Destabilizing Rounds
Impromptu Ammunition","Repulsor Brace
Attrition Orbs
Golden Tricorn",Skulking Wolf,basically Reckless with a few extra perks and a different origin,6,S
,Positive Outlook,29,Void,Precision,Fireteam Ops,,59,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Withering Gaze","Destabilizing Rounds
Mega Kill Clip",Accelerated Assault,"one of the less favorable auto archetypes, but perk combos are solid and origin trait is pretty decent",7,S
,Age-Old Bond,29,Void,High-Impact,Last Wish,,49,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Repulsor Brace
Meganeura","Destabilizing Rounds
Collective Action",Explosive Pact,"solid archetype, classic void combo, has double splash access, no High-Cal and terrible origin",8,S
,Reckless Oracle,29,Void,Rapid,Garden Of Salvation,,54,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Destabilizing Rounds
Dimensional Shift",Repulsor Brace,Photoinhibition,"very solid void auto overall, not best archetype but has core perks",9,S
,The Riposte,29,Void,Lightweight,Competitive,,57,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Dimensional Shift
Demoralize","Destabilizing Rounds
Desperate Measures",None,"great perk pairing and archetype, just no origin",10,S
,Scathelocke,29,Kinetic,Adaptive,EDZ,,50,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Attrition Orbs
Shoot to Loot","Kinetic Tremors
Ancillary Ordinance",Veteran's Wisdom,"very strong origin trait in context, classic kinetic combo, best archetype",11,A
,Abyss Defiant,29,Solar,High-Impact,Crota's End,,52,Yes,"Fluted Barrel
Arrowhead Brake",High-Caliber Rounds,"Burning Ambition
Heal Clip",Incandescent,Cursed Thrall,"High-Caliber + Unstoppable intrinsic access, good solar double splash, solid origin",12,A
,Pluperfect,29,Kinetic,High-Impact,Nessus,,50,Yes,"Fluted Barrel
Arrowhead Brake",High-Caliber Rounds,Stopping Power,"Kinetic Tremors
Rampage",Fail-deadly,"combines all three possible stagger modifiers, otherwise still pretty good: frame, 2nd column, origin",13,A
,VS Pyroelectric Propellant,29,Arc,Adaptive,Vesper's Host,,50,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Attrition Orbs,"Jolting Feedback
Gear Shift",Bray Legacy,"excellent archetype, origin, splash access, just not as lethal as some surrounding options",14,A
,Snipehunt Mk. 47,29,Arc,Lightweight,SRL,,48,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Jolting Feedback,"Chaos Reshaped
Voltshot
Attrition Orbs",Tex Balanced Stock,"double splash on arc is not that strong, JF + Chaos is unique, origin is pretty mediocre",15,A
,Arctic Haze,29,Solar,Rapid,Europa,,50,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Incandescent
Heal Clip","Burning Ambition
Rampage",Winterized Gear,"decent archetype and double solar splash, weaker than void options though",16,A
,The Ringing Nail,29,Solar,Precision,Arena Ops,,50,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Incandescent
Heal Clip
Impromptu Ammunition","Burning Ambition
Firefly
Onslaught",Forge's Kin,worse damage profile than Arctic Haze but has better origin trait and breaker access,17,A
