WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Eyes Unveiled,29,Void,Precision,Pit of Heresy,,45,Yes,Fluted Barrel,Accelerated Coils,"Fourth Time's the Charm
Mega Kill Clip","Elemental Honing
Chain Reaction",Heretical Behavior,"best linear by far; double damage option, FTTC + sustained, insane origin",1,S
,Cataclysmic,29,Solar,Precision,Vow of the Disciple,,37,Yes,Fluted Barrel,Accelerated Coils,Fourth Time's the Charm,"Aggregate Charge
Elemental Honing
Bait and Switch",Souldrinker,slightly better 2nd column than Eyes but definitely a step down,2,S
,Reed's Regret,29,Stasis,Precision,Trials,,40,Yes,Fluted Barrel,Accelerated Coils,Triple Tap,"Focused Fury
Firing Line",Veist Stinger,"best frame, higher total damage than any adaptive burst configuration, decent origin",3,A
,Taipan-4fr,29,Void,Precision,Banshee,,33,Yes,Fluted Barrel,Accelerated Coils,Triple Tap,"Focused Fury
Firing Line",Veist Stinger,functionally identical to Reed's with arguably worse surge match element,4,A
,Line in the Sand,24,Arc,Precision,Xur,,28,Yes,Fluted Barrel,Accelerated Coils,"Clown Cartridge
Demolitionist
Deconstruct","Bait and Switch
Firing Line",Cast No Shadows,"no ammo gen but still has better total than adaptive bursts, origin usable for refill",5,A
,Briar's Contempt,29,Solar,Adaptive Burst,Root of Nightmares,,39,Yes,Arrowhead Brake,Accelerated Coils,Rewind Rounds,"Aggregate Charge
Chaos Reshaped
Surrounded",Harmonic Resonance,best adaptive burst with new perks,6,B
,Stormchaser,29,Arc,Adaptive Burst,Duality,,32,Yes,Arrowhead Brake,Accelerated Coils,"Clown Cartridge
Supercharged Magazine
Jolting Feedback","Aggregate Charge
Elemental Honing
Gear Shift",Bitterspite,"pseudo-double damage perks, shame about the frame",7,B
,Laser Painter,29,Strand,Precision,Gambit,,26,Yes,Fluted Barrel,Accelerated Coils,"Clown Cartridge
Auto-Loading Holster",Focused Fury,Veist Stinger,no ammo gen and step down in damage perks vs. higher tier precisions,8,B
,Sailspy Pitchglass,29,Arc,Precision,Xur,,26,Yes,Fluted Barrel,Accelerated Coils,Clown Cartridge,Focused Fury,Right Hook,basically Laser Painter with no ALH or Veist,9,B
,Scintillation,29,Strand,Adaptive Burst,Zavala,,36,Yes,Arrowhead Brake,Accelerated Coils,"Rewind Rounds
Slice","Bait and Switch
Surrounded",Veist Stinger,worse damage perks than Briar,10,B
,Suspectum-4fr,24,Stasis,Precision,Banshee,,32,Yes,Fluted Barrel,Accelerated Coils,Envious Assassin,"Precision Instrument
High Ground
Firing Line",Veist Stinger,"more inconvenient reload perk, but still has Veist and semi-relevant damage perks",11,C
,Mistral Lift,28,Void,Adaptive Burst,Tenet of Bravery,,33,Yes,Arrowhead Brake,Accelerated Coils,"Envious Arsenal
Reconstruction
Withering Gaze","Bait and Switch
Precision Instrument",Veist Stinger,no Rewind but still pretty solid setup for an adaptive burst,12,C
,Doomed Petitioner,29,Void,Adaptive Burst,Starcrossed,,34,Yes,Arrowhead Brake,Accelerated Coils,"Reconstruction
Attrition Orbs","Precision Instrument
High Ground
Surrounded",Dragon's Vengeance,basically Mistral with worse origin and no Bait,13,C
,Willful Hamartia,29,Arc,Adaptive Burst,Trials,,37,Yes,Arrowhead Brake,Accelerated Coils,"Envious Assassin
High-Impact Reserves","Bait and Switch
Precision Instrument",Wild Card,"HIR in first column is unique, but otherwise not very good",14,C
,Threaded Needle,13,Void,Precision,"Xur, Dares",,35,No,Fluted Barrel,Accelerated Coils,"Clown Cartridge
Auto-Loading Holster",Frenzy,None,mediocre damage perk and no origin,15,D
,Boomslang-4fr,27,Arc,Adaptive Burst,"Tenet of Bravery, Zavala",,31,Yes,Arrowhead Brake,Accelerated Coils,Envious Arsenal,Precision Instrument,Veist Stinger,"Envious Arsenal as only refill perk isn't great, PI is also pretty mediocre",16,D
,Fire and Forget,29,Stasis,Adaptive Burst,Seraph's Shield,,33,Yes,Arrowhead Brake,Accelerated Coils,"Field Prep
Surplus",Focused Fury,Veist Stinger,post-buff Focused Fury is good but held back by frame,17,D
,Tarantula,13,Arc,Precision,Xur,,30,No,Fluted Barrel,Accelerated Coils,Field Prep,Box Breathing,None,Box Breathing is not a real sustained damage perk,18,E
,Corsair's Wrath,12,Solar,Precision,"Xur, Dares",,26,No,Fluted Barrel,Accelerated Coils,Pulse Monitor,High-Impact Reserves,None,might as well be perkless,19,E
