WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Threat Level,29,Kinetic,Rapid,Pantheon,,52,Yes,Barrel Shroud,Tactical Mag,"Cascade Point
One-Two Punch
Lead from Gold","All-Star
Trench Barrel
Chaos Reshaped",Elliptical Orbit,"most potent double damage/RoF shotgun ever, Kinetic Synthesis synergy, insane perk pool",1,S
,Found Verdict,29,Arc,Aggressive,Vault of Glass,,34,Yes,Barrel Shroud,Assault Mag,"Aggregate Charge
Discord
Rewind Rounds","Trench Barrel
One-Two Punch
Gear Shift",Timelost Magazine,"insane per-shot roam damage, great for raw Trench DPS, excellent origin for an aggressive",2,S
,Perfect Paradox,29,Kinetic,Rapid,"World, Banshee",,54,Yes,Barrel Shroud,Tactical Mag,"Pugilist
Stopping Power
Threat Detector","One-Two Punch
Trench Barrel
All-Star",Cast No Shadows,highest QoL overall 12P shotgun,3,S
,Heritage,12,Kinetic,Pinpoint Slug,Deep Stone Crypt,,49,Yes,Fluted Barrel,Assault Mag,"Redirection
Reconstruction","Cascade Point
Aggregate Charge
Recombination",Bray Inheritance,possibly the highest 1mag burst damage of any legendary special,4,S
,Basso Ostinato,29,Void,Rapid,Neomuna,,50,Yes,Barrel Shroud,Tactical Mag,"Grave Robber
Demolitionist
Discord","One-Two Punch
Trench Barrel",Nanotech Tracer Missiles,"best energy slot 12P, also has free damage on origin",5,S
,Unvoiced,29,Void,Pinpoint Slug,Sundered Doctrine,,46,Yes,Fluted Barrel,Assault Mag,"Redirection
Fourth Time's the Charm","Elemental Honing
Bait and Switch
Vorpal Weapon",Subjugation,"worse than Heritage for Redirection purposes, still no other equivalent in energy slot though",6,A
,Felwinter's Lie,29,Solar,Shot Package,Iron Banner,,34,Yes,Barrel Shroud,Assault Mag,"Cascade Point
Slickdraw","Bait and Switch
Trench Barrel
One-Two Punch",Skulking Wolf,"has potential use with Parasite swap rotations, only Cascade + damage aggressive",7,A
,IKELOS_SG_v1.0.3,29,Solar,Rapid,Seraph's Shield,,60,Yes,Barrel Shroud,Tactical Mag,Grave Robber,"One-Two Punch
Trench Barrel
Surrounded",Rasputin's Arsenal,basically Basso but with Surrounded and worse origin,8,A
,The Deicide,29,Arc,Rapid,Nessus,,51,Yes,Barrel Shroud,Tactical Mag,"Discord
Auto-Loading Holster
Lead from Gold","One-Two Punch
Trench Barrel
Cascade Point",Fail-deadly,"no Grave but Fail-deadly makes up for it, has pretty decent QoL perks otherwise",9,A
,One Small Step,29,Stasis,Rapid,Moon,,53,Yes,Barrel Shroud,Tactical Mag,"Grave Robber
Lead from Gold","One-Two Punch
Trench Barrel",Loss,Perfect Paradox alternative with no CNS and standard perks,10,A
,"A Sudden Death
RotN version",26,Void,Aggressive,Rite of the Nine,,38,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Discord","Trench Barrel
Redirection",Gravity Well,"12P + Trench aggressive is still novel, has Redirection and useful origin too",11,A
,A Sudden Death,29,Void,Aggressive,Prophecy,,38,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Discord
Reconstruction",Trench Barrel,Crossing Over,"no Redirection and Gravity Well, still has core perk combo though",12,A
,Imperial Decree,29,Kinetic,Aggressive,Xur,,39,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Surrounded",To Excess,classic high QoL ALH Trench/Surrounded aggressive,13,A
,Pure Recollection,27,Void,Heavy Burst,"Tenet of Bravery, Shaxx",,40,Yes,Fluted Barrel,"Appended Mag
Ricochet Rounds","Envious Arsenal
High-Impact Reserves","Bait and Switch
Withering Gaze",Roar of Battle,"best shotgun for dying quickly, also best Withering frame of all options",14,A
,Arcane Embrace,27,Arc,Heavy Burst,Tenet of Bravery,,42,Yes,Fluted Barrel,Appended Mag,"Fourth Time's the Charm
Reconstruction
Grave Robber","Aggregate Charge
Surrounded",Search Party,"in theory best sustained damage option, unfortunately Kinetic Synthesis exists",15,A
,Until Its Return,29,Strand,Rapid,Xur,,54,Yes,Barrel Shroud,Tactical Mag,"Auto-Loading Holster
Overflow","Surrounded
Cascade Point
Trench Barrel",Unsated Hunger,"ALH/Overflow + burst perks, useless origin and no double damage unfortunately",16,A
,Starscape Null,27,Solar,Lightweight,Epic Desert Perpetual,,29,Yes,Barrel Shroud,Assault Mag,"Rewind Rounds
Reconstruction
Envious Arsenal","One-Two Punch
Aggregate Charge
Trench Barrel",Frame of Reference,"rotation-oriented lightweight, unfortunately not the best frame for this use case",17,B
,Swordbreaker,29,Strand,Lightweight,Crota's End,,25,Yes,Barrel Shroud,Assault Mag,"Slice
Demolitionist","One-Two Punch
Surrounded
Chaos Reshaped",Cursed Thrall,"Slice on a decent frame is interesting, unfortunately struggles to find a use",18,B
,Xenoclast IV,29,Arc,Lightweight,Zavala,,23,Yes,Barrel Shroud,Assault Mag,"Grave Robber
Lead from Gold","One-Two Punch
Trench Barrel
Surrounded",Vanguard Determination,"now enhanceable, so basically a lower shot count IKELOS-adjacent pick",19,B
,Last Man Standing,29,Solar,Aggressive,Gambit,,33,Yes,Barrel Shroud,Assault Mag,"Grave Robber
Lead from Gold","One-Two Punch
Trench Barrel
Discord",Gun and Run,"not a great frame for 12P, has Trench, Discord in wrong column",20,B
